name,category,filename,image_url,pexels_url,status
Crispy Corn Pepper Toss,Appetizers,appetizers/crispy-corn-pepper-toss.jpg,https://images.pexels.com/photos/36009494/pexels-photo-36009494.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/appetizing-fried-chicken-with-bell-peppers-36009494/,downloaded
Paneer Tikka Skewers,Appetizers,appetizers/paneer-tikka-skewers.jpg,https://images.pexels.com/photos/3928854/pexels-photo-3928854.png?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/food-on-a-plate-3928854/,downloaded
Stuffed Mushroom Caps,Appetizers,appetizers/stuffed-mushroom-caps.jpg,https://images.pexels.com/photos/10359397/pexels-photo-10359397.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/a-plate-of-delicious-brown-round-bread-with-cream-cheese-and-rosemary-10359397/,downloaded
Veg Spring Rolls,Appetizers,appetizers/veg-spring-rolls.jpg,https://images.pexels.com/photos/30604611/pexels-photo-30604611.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/gourmet-sushi-roll-with-vegetables-and-crispy-topping-30604611/,downloaded
Chicken Satay Sticks,Appetizers,appetizers/chicken-satay-sticks.jpg,https://images.pexels.com/photos/37081067/pexels-photo-37081067.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-indonesian-satay-skewers-and-refreshing-lemonade-37081067/,downloaded
Fish Finger Basket,Appetizers,appetizers/fish-finger-basket.jpg,https://images.pexels.com/photos/17598287/pexels-photo-17598287.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/a-small-tray-with-some-food-and-a-cup-of-tea-17598287/,downloaded
Loaded Nachos Supreme,Appetizers,appetizers/loaded-nachos-supreme.jpg,https://images.pexels.com/photos/29851128/pexels-photo-29851128.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-beef-nachos-with-fresh-toppings-29851128/,downloaded
Tomato Basil Soup,Soups,soups/tomato-basil-soup.jpg,https://images.pexels.com/photos/2421593/pexels-photo-2421593.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/white-ceramic-mug-with-soup-beside-spoon-2421593/,downloaded
Sweet Corn Soup,Soups,soups/sweet-corn-soup.jpg,https://images.pexels.com/photos/35041910/pexels-photo-35041910.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/colorful-vegetable-soup-with-fresh-ingredients-35041910/,downloaded
Hot and Sour Veg Soup,Soups,soups/hot-and-sour-veg-soup.jpg,https://images.pexels.com/photos/25325508/pexels-photo-25325508.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/soup-in-a-white-bowl-on-a-table-25325508/,downloaded
Cream of Mushroom Soup,Soups,soups/cream-of-mushroom-soup.jpg,https://images.pexels.com/photos/5175536/pexels-photo-5175536.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/white-and-black-ceramic-bowl-beside-a-bread-5175536/,downloaded
Chicken Clear Soup,Soups,soups/chicken-clear-soup.jpg,https://images.pexels.com/photos/32655229/pexels-photo-32655229.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/hearty-ecuadorian-chicken-soup-in-white-bowl-32655229/,downloaded
Hot and Sour Chicken Soup,Soups,soups/hot-and-sour-chicken-soup.jpg,https://images.pexels.com/photos/16845652/pexels-photo-16845652.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/black-bowl-of-soup-16845652/,downloaded
Seafood Laksa Soup,Soups,soups/seafood-laksa-soup.jpg,https://images.pexels.com/photos/28907751/pexels-photo-28907751.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-asian-noodle-bowl-with-fresh-herbs-28907751/,downloaded
Garden Green Salad,Salads,salads/garden-green-salad.jpg,https://images.pexels.com/photos/36285423/pexels-photo-36285423.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/close-up-of-fresh-green-lettuce-leaves-36285423/,downloaded
Greek Feta Salad,Salads,salads/greek-feta-salad.jpg,https://images.pexels.com/photos/724669/pexels-photo-724669.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/vegetable-slices-on-brown-ceramic-bowl-724669/,downloaded
Quinoa Roasted Veg Salad,Salads,salads/quinoa-roasted-veg-salad.jpg,https://images.pexels.com/photos/4899793/pexels-photo-4899793.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/close-up-shot-of-a-dish-on-a-plate-4899793/,downloaded
Caesar Salad,Salads,salads/caesar-salad.jpg,https://images.pexels.com/photos/29935339/pexels-photo-29935339.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-caesar-salad-with-grilled-chicken-29935339/,downloaded
Chicken Caesar Salad,Salads,salads/chicken-caesar-salad.jpg,https://images.pexels.com/photos/28618639/pexels-photo-28618639.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-caesar-salad-with-grilled-chicken-28618639/,downloaded
Asian Sesame Chicken Salad,Salads,salads/asian-sesame-chicken-salad.jpg,https://images.pexels.com/photos/28752808/pexels-photo-28752808.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-chicken-noodle-salad-with-fresh-vegetables-28752808/,downloaded
Prawn Avocado Salad,Salads,salads/prawn-avocado-salad.jpg,https://images.pexels.com/photos/10875295/pexels-photo-10875295.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/shrimp-dish-with-vegetable-salad-in-a-plate-10875295/,downloaded
Margherita Classica,Pizza,pizza/margherita-classica.jpg,https://images.pexels.com/photos/35819048/pexels-photo-35819048.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-margherita-pizza-with-rose-petals-35819048/,downloaded
Farmhouse Delight,Pizza,pizza/farmhouse-delight.jpg,https://images.pexels.com/photos/11496921/pexels-photo-11496921.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/blue-sky-over-field-in-countryside-11496921/,downloaded
Truffle Paneer Tikka Pizza,Pizza,pizza/truffle-paneer-tikka-pizza.jpg,https://images.pexels.com/photos/19081127/pexels-photo-19081127.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/pizza-19081127/,downloaded
Four Cheese Pizza,Pizza,pizza/four-cheese-pizza.jpg,https://images.pexels.com/photos/33458021/pexels-photo-33458021.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/close-up-of-delicious-four-cheese-pizza-on-wooden-table-33458021/,downloaded
Pepperoni Inferno,Pizza,pizza/pepperoni-inferno.jpg,https://images.pexels.com/photos/6488931/pexels-photo-6488931.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-pizza-with-pepperoni-and-chili-pepper-slices-6488931/,downloaded
BBQ Chicken Pizza,Pizza,pizza/bbq-chicken-pizza.jpg,https://images.pexels.com/photos/29839587/pexels-photo-29839587.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-bbq-chicken-pizza-on-wooden-table-29839587/,downloaded
Seafood Marinara Pizza,Pizza,pizza/seafood-marinara-pizza.jpg,https://images.pexels.com/photos/14966000/pexels-photo-14966000.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-pizzas-and-a-plate-of-seafood-marinara-14966000/,downloaded
Classic Veg Burger,Burgers,burgers/classic-veg-burger.jpg,https://images.pexels.com/photos/13062450/pexels-photo-13062450.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/burger-on-white-ceramic-plate-13062450/,downloaded
Paneer Crunch Burger,Burgers,burgers/paneer-crunch-burger.jpg,https://images.pexels.com/photos/11354487/pexels-photo-11354487.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/close-up-photo-of-delicious-chicken-burger-11354487/,downloaded
Mushroom Melt Burger,Burgers,burgers/mushroom-melt-burger.jpg,https://images.pexels.com/photos/5474637/pexels-photo-5474637.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/close-up-shot-of-a-mouth-watering-hamburger-5474637/,downloaded
Mexican Bean Burger,Burgers,burgers/mexican-bean-burger.jpg,https://images.pexels.com/photos/15076692/pexels-photo-15076692.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/burger-15076692/,downloaded
Chicken Cheese Burger,Burgers,burgers/chicken-cheese-burger.jpg,https://images.pexels.com/photos/11299742/pexels-photo-11299742.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/burger-and-french-fries-on-a-wood-slice-tray-11299742/,downloaded
Crispy Chicken Burger,Burgers,burgers/crispy-chicken-burger.jpg,https://images.pexels.com/photos/34407059/pexels-photo-34407059.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/crispy-chicken-burger-and-fries-on-wooden-board-34407059/,downloaded
Lamb Gourmet Burger,Burgers,burgers/lamb-gourmet-burger.jpg,https://images.pexels.com/photos/33253821/pexels-photo-33253821.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/gourmet-burger-with-fries-on-rustic-table-33253821/,downloaded
Veg Club Sandwich,Sandwiches,sandwiches/veg-club-sandwich.jpg,https://images.pexels.com/photos/5639689/pexels-photo-5639689.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/close-up-shot-of-sandwiches-5639689/,downloaded
Grilled Corn Cheese Sandwich,Sandwiches,sandwiches/grilled-corn-cheese-sandwich.jpg,https://images.pexels.com/photos/36268517/pexels-photo-36268517.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/grilled-paneer-corn-sandwich-with-sauces-36268517/,downloaded
Pesto Veg Panini,Sandwiches,sandwiches/pesto-veg-panini.jpg,https://images.pexels.com/photos/33755326/pexels-photo-33755326.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/gourmet-sandwich-with-fresh-greens-and-pesto-33755326/,downloaded
Bombay Masala Sandwich,Sandwiches,sandwiches/bombay-masala-sandwich.jpg,https://images.pexels.com/photos/34682732/pexels-photo-34682732.jpeg?auto=compress&cs=tinysrgb&h=650&w=940,https://www.pexels.com/photo/delicious-indian-snack-vada-pav-with-spicy-chili-34682732/,downloaded
